0,SS_pokelist_02,Which Pokémon do you want to swap with?,30,-1,42,840,0,"-1
0
0
-1
0"
1,SS_pokelist_04,"You received the {tag:0}
from {tag:1}.",30,-1,42,840,0,"-1
0
0
-1
0",1,1,10,0,0,0,,0,0,1,2,0,0,0,,0
2,SS_pokelist_06,"You can’t receive the item because your Bag
is full.",30,-1,42,840,0,"-1
0
0
-1
0"
3,SS_pokelist_08,Which item do you want to move?,30,-1,42,840,0,"-1
0
0
-1
0"
4,SS_pokelist_09,Where do you want to move it to?,30,-1,42,840,0,"-1
0
0
-1
0"
5,SS_pokelist_11,You can’t select an Egg.,30,-1,42,840,0,"-1
0
0
-1
0"
6,SS_pokelist_12,You gave the item to the Pokémon.,30,-1,42,840,0,"-1
0
0
-1
0"
7,SS_pokelist_13,To Boxes,39,-1,42,420,0,"-1
0
0
-1
0"
8,SS_pokelist_14,Lv. {tag:0},169,-1,32,224,0,"-1
0
0
-1
0",0,2,2,1,0,205,,0
9,SS_pokelist_15,{tag:0},37,-1,42,294,0,"-1
0
0
-1
0",0,1,2,0,0,0,,0
10,SS_pokelist_17,/,146,-1,42,84,0,"-1
0
0
-1
0"
11,SS_pokelist_18,{tag:0},149,-1,42,210,0,"-1
0
0
-1
0",0,2,2,1,0,205,,0
12,SS_pokelist_19,{tag:0},149,-1,42,210,0,"-1
0
0
-1
0",0,2,2,1,0,205,,0
13,SS_pokelist_20,Check summary,50,-1,42,756,0,"-1
0
0
-1
0"
14,SS_pokelist_21,Restore,50,-1,42,756,0,"-1
0
0
-1
0"
15,SS_pokelist_22,Held item,50,-1,42,756,0,"-1
0
0
-1
0"
16,SS_pokelist_23,Back,50,-1,42,756,0,"-1
0
0
-1
0"
17,SS_pokelist_24,Swap Pokémon,50,-1,42,756,0,"-1
0
0
-1
0"
18,SS_pokelist_25,{tag:0},39,-1,42,420,0,"-1
0
0
-1
0",0,1,9,0,0,0,,0
19,SS_pokelist_29,Give an item,50,-1,42,756,0,"-1
0
0
-1
0"
20,SS_pokelist_30,Put it back in your Bag,50,-1,42,756,0,"-1
0
0
-1
0"
21,SS_pokelist_31,Swap held items,50,-1,42,756,0,"-1
0
0
-1
0"
22,SS_pokelist_32,Back,50,-1,42,756,0,"-1
0
0
-1
0"
23,SS_pokelist_33, Confirm,83,-1,32,320,0,"-1
0
0
-1
0"
24,SS_pokelist_34, Back,83,-1,32,320,0,"-1
0
0
-1
0"
25,SS_pokelist_35, Swap Pokémon,83,-1,32,320,0,"-1
0
0
-1
0"
26,SS_pokelist_36, Swap Held Items,83,-1,32,320,0,"-1
0
0
-1
0"
27,SS_pokelist_37, Back,83,-1,32,320,0,"-1
0
0
-1
0"
28,SS_pokelist_43,POKÉMON,41,-1,42,462,0,"-1
0
0
-1
0"
29,SS_pokelist_44,{tag:0},37,-1,42,294,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
30,SS_pokelist_45,Walk together,50,-1,42,756,0,"-1
0
0
-1
0"
31,SS_pokelist_46,You’ll walk together with {tag:0}!,30,-1,42,840,0,"-1
0
0
-1
0",0,1,2,0,0,0,,0
32,SS_pokelist_47,"{tag:0}’s HP was restored by
{tag:1} {tag:2}.",30,-1,42,840,1,"-1
0
0
-1
0",0,1,2,0,0,0,,0,1,2,2,1,0,205,,0,-1,19,1,5,0,1,"point
points",0
33,SS_pokelist_48,Return to Ball,50,-1,42,756,0,"-1
0
0
-1
0"
34,SS_pokelist_49,Please select a Pokémon.,56,-1,42,840,0,"-1
0
0
-1
0"
35,SS_pokelist_50,Change Moves,56,-1,42,840,0,"-1
0
0
-1
0"
36,SS_pokelist_51,Change Name,56,-1,42,840,0,"-1
0
0
-1
0"
